,Job_Title,Information,Company_Type,Job_Contract,Experience,Education,Required_Skills,Skills,Company,Location,City,Province,Job_Posting,Salary
99,Associate Consultant,,,Hybrid,Magang,Kurang dari setahun,Minimal Sarjana (S1),10,Atama,Menteng,Jakarta Pusat,DKI Jakarta,10 hari yang lalu,Rp 1 jt-6 jt
100,Junior System Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),ERD,3,PT Lumut Karya Sejahtera,Kapanewon Sewon,Kab. Bantul,DI Yogyakarta,1 bulan yang lalu,Rp 3 jt-5 jt
101,IT Business Analyst (Insurance Industry),,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Business Analysis,3,PT Sigma Global Teknologi,Setiabudi,Jakarta Selatan,DKI Jakarta,1 bulan yang lalu,Rp 8 jt-10 jt
102,Functional Business Analyst (for Retail Company),,,Hybrid,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),3,Pt Total Cloud Solutions,Grogol Petamburan,Jakarta Barat,DKI Jakarta,1 bulan yang lalu,Rp 10 jt-20 jt
103,Analis Pusat Operasi Keamanan (SOC),,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),monitoring,3,Noosc,Menteng,Jakarta Pusat,DKI Jakarta,23 hari yang lalu,Rp 5 jt-6 jt
104,Analis Kredit Lapangan - Cab,,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Negotiation Skills,3,Nusantara Sakti Group,Grogol Petamburan,Jakarta Barat,DKI Jakarta,2 hari yang lalu,"Rp 2,3 jt-5,7 jt"
105,Credit Analyst Corporate Specialist,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Microsoft Office,3,PT BPR Kredit Mandiri Indonesia,Serpong,Tangerang Selatan,Banten,Kemarin,
106,Sales and Marketing Analyst,,,Hybrid,Freelance,1 – 3 tahun,Minimal Sarjana (S1),3,PT. Taso Indonesia Raya,Kembangan,Jakarta Barat,DKI Jakarta,2 hari yang lalu,"Rp 2 jt-2,5 jt"
107,Admin Reporting Analyst ( Yogyakarta ),,Perusahaan Premium,Remote/Dari rumah,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),4,Ultimo Solution,Kemantren Gondokusuman,Yogyakarta,DI Yogyakarta,2 hari yang lalu,"Rp 2,5 jt-3,4 jt"
108,Data & Analytics Lead,,,Hybrid,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),7,Proxima Konsultan Indonesia,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,17 hari yang lalu,Rp 35 jt-45 jt
109,ADMIN DATA,,,Penuh Waktu,1 – 3 tahun,Minimal SMA/SMK,Communicative,5,Dewata Group,Buleleng,Kab. Buleleng,Bali,23 hari yang lalu,"Rp 2 jt-2,6 jt"
110,Admin Data Entry,,Perusahaan Premium,Penuh Waktu,Minimal SMA/SMK,Microsoft Excel,Teamwork,3,Kool Prima,Medan Johor,Medan,Sumatera Utara,23 hari yang lalu,Rp 1 jt-2 jt
111,Bussiness Analyst (CargoWise),,,Hybrid,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),7,OneByOne Logistical,Kuta,Kab. Badung,Bali,16 hari yang lalu,"Rp 5 jt-7,5 jt"
